Vendor_Customer_Name,GSTIN,Invoice_No,Invoice_Date,Ledger_Type,Invoice_Value,Taxable_Value,CGST_Amount,SGST_Amount,IGST_Amount,Total_Tax,Payment_Status,Payment_Date,TDS_Deducted,Account_Code,Remarks,Upload_Timestamp
Test Company Ltd,09TEST123456,INV-99999,2025-10-15,Payable,450000.00,381355.93,34322.03,34322.03,0.0,68644.07,Paid,2025-10-30,4500.00,ACC-9999,Amount mismatch - verify,2025-11-01 20:00:00
ABC Traders Pvt. Ltd.,27ABCDE1234F1Z5,INV-001,2025-09-01,Payable,122500.00,110000.00,9000.00,9000.00,0.00,18000.00,Paid,2025-09-30,1250.00,EXP-GST-SERV,Partial match due to TDS,2025-10-10 12:30
Global Supplies LLP,29XYZPQ5678K2Z3,INV-002,2025-09-02,Payable,98000.00,85000.00,6500.00,6500.00,0.00,13000.00,Paid,2025-09-29,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:32
MetroTech Solutions,07LMNOP7890J3Z1,INV-003,2025-09-03,Payable,150000.00,135000.00,7500.00,7500.00,0.00,15000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:35
GreenLeaf Organics,24QRSTU2345L4Z7,INV-004,2025-09-04,Payable,72000.00,64000.00,4000.00,4000.00,0.00,8000.00,Paid,2025-09-25,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:37
NextGen Retailers,19ABCDE9999M5Z9,INV-005,2025-09-05,Payable,56000.00,50000.00,3000.00,3000.00,0.00,6000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:40
ABC Traders Pvt. Ltd.,27ABCDE1234F1Z5,INV-006,2025-09-06,Payable,130000.00,115000.00,7500.00,7500.00,0.00,15000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:42
Global Supplies LLP,29XYZPQ5678K2Z3,INV-007,2025-09-07,Payable,97000.00,87000.00,6000.00,6000.00,0.00,12000.00,Paid,2025-09-29,0.00,EXP-GST-SERV,Partial match (value deviation),2025-10-10 12:45
MetroTech Solutions,07LMNOP7890J3Z1,INV-008,2025-09-08,Payable,155000.00,140000.00,7500.00,7500.00,0.00,15000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:47
GreenLeaf Organics,24QRSTU2345L4Z7,INV-009,2025-09-09,Payable,73000.00,65000.00,4000.00,4000.00,0.00,8000.00,Paid,2025-09-25,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:50
NextGen Retailers,19ABCDE9999M5Z9,INV-010,2025-09-10,Payable,57000.00,51000.00,3000.00,3000.00,0.00,6000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:52
ABC Traders Pvt. Ltd.,27ABCDE1234F1Z5,INV-011,2025-09-11,Payable,125000.00,110000.00,9000.00,9000.00,0.00,18000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:55
Global Supplies LLP,29XYZPQ5678K2Z3,INV-012,2025-09-12,Payable,98000.00,85000.00,6500.00,6500.00,0.00,13000.00,Paid,2025-09-29,0.00,EXP-GST-SERV,Exact match,2025-10-10 12:58
MetroTech Solutions,07LMNOP7890J3Z1,INV-013,2025-09-13,Payable,150000.00,135000.00,7500.00,7500.00,0.00,15000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:00
GreenLeaf Organics,24QRSTU2345L4Z7,INV-014,2025-09-14,Payable,72000.00,64000.00,4000.00,4000.00,0.00,8000.00,Paid,2025-09-25,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:02
NextGen Retailers,19ABCDE9999M5Z9,INV-015,2025-09-15,Payable,56000.00,50000.00,3000.00,3000.00,0.00,6000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:05
ABC Traders Pvt. Ltd.,27ABCDE1234F1Z5,INV-016,2025-09-16,Payable,128000.00,115000.00,7500.00,7500.00,0.00,15000.00,Paid,2025-09-30,2000.00,EXP-GST-SERV,Partial match due to TDS,2025-10-10 13:08
Global Supplies LLP,29XYZPQ5678K2Z3,INV-017,2025-09-17,Payable,99000.00,87000.00,6000.00,6000.00,0.00,12000.00,Paid,2025-09-29,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:10
MetroTech Solutions,07LMNOP7890J3Z1,INV-018,2025-09-18,Payable,155000.00,140000.00,7500.00,7500.00,0.00,15000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:12
GreenLeaf Organics,24QRSTU2345L4Z7,INV-019,2025-09-19,Payable,73000.00,65000.00,4000.00,4000.00,0.00,8000.00,Paid,2025-09-25,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:15
NextGen Retailers,19ABCDE9999M5Z9,INV-020,2025-09-20,Payable,57000.00,51000.00,3000.00,3000.00,0.00,6000.00,Paid,2025-09-30,0.00,EXP-GST-SERV,Exact match,2025-10-10 13:18
Sabharwal-Dhaliwal,19OL3OBOPAB04ZC,INV-00998,2025-04-08,Receivable,385883.46,327019.88,29431.79,29431.79,0.0,58863.58,Unpaid,,0.0,ACC-1131,Missing in GST filing,2025-11-01 19:53:42
Ghose-Bhat,199E6GBPS3Y74ZV,INV-00024,2024-12-15,Payable,197891.95,188468.52,4711.72,4711.72,0.0,9423.43,Unpaid,2025-01-04,1978.92,ACC-2070,Pending review,2025-11-05 19:53:42
Nath-Varkey,19L4ZKLOOKEP2ZV,INV-00025,2025-09-25,Payable,533802.17,533802.17,0,0,0,0,Unpaid,2025-10-01,0,ACC-2070,Pending review,2025-11-05 19:53:42
