Vendor_Customer_Name,GSTIN,Invoice_No,Invoice_Date,Ledger_Type,Invoice_Value,Taxable_Value,CGST_Amount,SGST_Amount,IGST_Amount,Total_Tax,Payment_Status,Payment_Date,TDS_Deducted,Account_Code,Remarks,Upload_Timestamp
Mann-Dugal,24E0IFD0TVBD1ZQ,INV-00001,2025-07-06,Payable,25762.95,23002.63,1380.16,1380.16,0.0,2760.32,Unpaid,2025-07-30,257.63,ACC-8817,Verified,2025-11-01 19:53:42
Zacharia Ltd,29QK51FPKH1D2ZD,INV-00002,2025-03-03,Receivable,501821.24,425272.24,0.0,0.0,76549.0,76549.0,Paid,2025-03-22,0.0,ACC-2931,Approved,2025-11-01 19:53:42
Dora and Sons,24QE7CKW5NGC4ZH,INV-00003,2025-01-27,Payable,551889.58,492758.55,0.0,0.0,59131.03,59131.03,Partial,2025-02-10,0.0,ACC-7998,Verified,2025-11-01 19:53:42
Singh Group,09KWNNHJ7XVG4ZH,INV-00004,2024-11-23,Receivable,279078.85,236507.5,0.0,0.0,42571.35,42571.35,Partial,2024-12-14,0.0,ACC-8987,Approved,2025-11-01 19:53:42
Shere-Doshi,24L1C32OC6UZ1ZU,INV-00005,2025-05-14,Payable,260940.33,203859.63,0.0,0.0,57080.7,57080.7,Unpaid,2025-06-07,0.0,ACC-2753,,2025-11-01 19:53:42
Dara-Dayal,07F0T0PVN9ER1ZD,INV-00006,2024-11-18,Receivable,406334.16,317448.56,0.0,0.0,88885.6,88885.6,Paid,2024-11-28,4063.34,ACC-7908,Approved,2025-11-01 19:53:42
Natarajan PLC,09N9T84AZYTJ4ZK,INV-00007,2024-10-28,Receivable,172272.87,153815.06,9228.91,9228.91,0.0,18457.81,Unpaid,2024-11-15,0.0,ACC-5338,,2025-11-01 19:53:42
Hari-Srinivas,2785JSG65KXV1ZL,INV-00008,2025-09-26,Payable,93616.98,89159.03,2228.97,2228.97,0.0,4457.95,Unpaid,2025-10-11,936.17,ACC-3485,Verified,2025-11-01 19:53:42
Batra-Bhagat,09A753LC58DR1ZY,INV-00009,2025-05-31,Receivable,431489.93,385258.87,23115.53,23115.53,0.0,46231.06,Paid,2025-06-05,4314.9,ACC-2674,,2025-11-01 19:53:42
Barad Group,19FSV871YZOY2ZO,INV-00010,2025-05-23,Payable,258975.6,231228.21,0.0,0.0,27747.39,27747.39,Paid,2025-06-22,0.0,ACC-4983,,2025-11-01 19:53:42
